Doc&Category, Element ID, Porperty, Number Value,String Value 
8,939639,底部偏移@19,0,
8,939639,结构材质@5,,Concrete - Cast-in-Place Concrete
8,939639,底部标高@19,,L7
8,939639,顶部偏移@19,0,
8,939639,面积@1,32.39,
8,939639,柱定位标记@19,,H-4
8,939639,顶部标高@19,,L8
8,939639,标高@19,,L7
8,939639,创建的阶段@14,,New Construction
8,939639,族与类型@-1,,18"
8,939639,柱样式@19,0,
8,939639,族@-1,,18"
8,939639,随轴网移动@19,1,
8,939639,类型 ID@-1,,18"
8,939639,类型名称@0,,18"
8,939639,部件代码@0,,B10
8,939639,横断面形状@12,0,
8,939639,b@1,1.5,
8,939641,顶部标高@19,,L8
8,939641,族与类型@-1,,18"
8,939641,底部标高@19,,L7
8,939641,创建的阶段@14,,New Construction
8,939641,长度@1,14,
8,939641,柱定位标记@19,,H-3
8,939641,结构材质@5,,Concrete - Cast-in-Place Concrete
8,939641,面积@1,32.4,
8,939641,启用分析模型@12,1,
8,939641,底部偏移@19,0,
8,939641,顶部偏移@19,0,
8,939641,类型 ID@-1,,18"
8,939641,随轴网移动@19,1,
8,939641,族@-1,,18"
8,939641,标高@19,,L7
8,939641,柱样式@19,0,
8,939641,体积@1,22.97,
8,939641,钢筋保护层 - 其他面@12,,Rebar Cover 1
8,939641,类型@-1,,18"
8,939641,类型名称@0,,18"
8,939641,部件代码@0,,B10
8,939641,横断面形状@12,0,
8,939641,b@1,1.5,
8,939643,钢筋保护层 - 其他面@12,,Rebar Cover 1
8,939643,底部偏移@19,0,
8,939643,结构材质@5,,Concrete - Cast-in-Place Concrete
8,939643,启用分析模型@12,1,
8,939643,长度@1,14,
8,939643,创建的阶段@14,,New Construction
8,939643,柱样式@19,0,
8,939643,顶部偏移@19,0,
8,939643,顶部标高@19,,L8
8,939643,底部标高@19,,L7
8,939643,类型@-1,,18"
8,939643,标高@19,,L7
8,939643,体积@1,22.97,
8,939643,随轴网移动@19,1,
8,939643,族@-1,,18"
8,939643,面积@1,32.4,
8,939643,类型 ID@-1,,18"
8,939643,柱定位标记@19,,H-2
8,939643,族与类型@-1,,18"
8,939643,类型名称@0,,18"
8,939643,部件代码@0,,B10
8,939643,横断面形状@12,0,
8,939643,b@1,1.5,
8,939645,顶部标高@19,,L8
8,939645,顶部偏移@19,0,
8,939645,底部偏移@19,0,
8,939645,钢筋保护层 - 其他面@12,,Rebar Cover 1
8,939645,柱样式@19,0,
8,939645,随轴网移动@19,1,
8,939645,族@-1,,18"
8,939645,底部标高@19,,L7
8,939645,柱定位标记@19,,G-5
8,939645,类型 ID@-1,,18"
8,939645,启用分析模型@12,1,
8,939645,标高@19,,L7
8,939645,创建的阶段@14,,New Construction
